transaction_id,Month Name,Day Name,Hour,Month,Day of Week
114301,June,Thursday,11,6,3
115405,June,Friday,11,6,4
115478,June,Friday,12,6,4
116288,June,Friday,19,6,4
116714,June,Saturday,12,6,5
116739,June,Saturday,12,6,5
116853,June,Saturday,13,6,5
117389,June,Saturday,18,6,5
118056,June,Sunday,14,6,6
118281,June,Sunday,16,6,6
118428,June,Sunday,17,6,6
118913,June,Monday,12,6,0
119196,June,Monday,14,6,0
119240,June,Monday,14,6,0
119351,June,Monday,15,6,0
119444,June,Monday,16,6,0
119692,June,Monday,19,6,0
121279,June,Wednesday,10,6,2
121416,June,Wednesday,10,6,2
121493,June,Wednesday,12,6,2
121656,June,Wednesday,15,6,2
121709,June,Wednesday,16,6,2
121876,June,Wednesday,19,6,2
122518,June,Thursday,11,6,3
122622,June,Thursday,12,6,3
122818,June,Thursday,15,6,3
122954,June,Thursday,16,6,3
123152,June,Thursday,19,6,3
123465,June,Friday,8,6,4
123499,June,Friday,8,6,4
123540,June,Friday,9,6,4
123603,June,Friday,9,6,4
123972,June,Friday,12,6,4
125324,June,Saturday,14,6,5
126049,June,Sunday,9,6,6
126086,June,Sunday,9,6,6
126107,June,Sunday,9,6,6
126787,June,Sunday,19,6,6
128042,June,Tuesday,7,6,1
128558,June,Tuesday,10,6,1
128752,June,Tuesday,10,6,1
128923,June,Tuesday,14,6,1
129043,June,Tuesday,16,6,1
129136,June,Tuesday,17,6,1
129369,June,Wednesday,8,6,2
129437,June,Wednesday,8,6,2
129888,June,Wednesday,10,6,2
130181,June,Wednesday,14,6,2
130620,June,Thursday,7,6,3
130923,June,Thursday,9,6,3
131166,June,Thursday,10,6,3
131442,June,Thursday,15,6,3
132915,June,Friday,17,6,4
132944,June,Friday,18,6,4
133226,June,Saturday,7,6,5
133498,June,Saturday,9,6,5
133501,June,Saturday,9,6,5
134681,June,Sunday,9,6,6
134944,June,Sunday,11,6,6
136005,June,Monday,9,6,0
136490,June,Monday,15,6,0
136546,June,Monday,15,6,0
136570,June,Monday,16,6,0
136982,June,Tuesday,8,6,1
137062,June,Tuesday,8,6,1
137164,June,Tuesday,9,6,1
137348,June,Tuesday,10,6,1
137377,June,Tuesday,10,6,1
137478,June,Tuesday,10,6,1
137507,June,Tuesday,11,6,1
137630,June,Tuesday,14,6,1
137676,June,Tuesday,14,6,1
137808,June,Tuesday,17,6,1
137887,June,Tuesday,19,6,1
137890,June,Tuesday,19,6,1
138130,June,Wednesday,8,6,2
138516,June,Wednesday,10,6,2
139326,June,Thursday,8,6,3
139646,June,Thursday,11,6,3
139657,June,Thursday,11,6,3
139882,June,Thursday,14,6,3
140432,June,Friday,7,6,4
140670,June,Friday,9,6,4
140896,June,Friday,11,6,4
140903,June,Friday,11,6,4
140941,June,Friday,12,6,4
140943,June,Friday,12,6,4
141121,June,Friday,15,6,4
141218,June,Friday,16,6,4
141223,June,Friday,16,6,4
141234,June,Friday,16,6,4
141253,June,Friday,17,6,4
141805,June,Saturday,9,6,5
142115,June,Saturday,12,6,5
142390,June,Saturday,16,6,5
142439,June,Saturday,16,6,5
142627,June,Saturday,19,6,5
142838,June,Sunday,8,6,6
143066,June,Sunday,9,6,6
143650,June,Sunday,17,6,6
143877,June,Monday,7,6,0
144397,June,Monday,10,6,0
144441,June,Monday,11,6,0
144702,June,Monday,15,6,0
144729,June,Monday,15,6,0
144749,June,Monday,16,6,0
144919,June,Monday,18,6,0
145152,June,Tuesday,8,6,1
145422,June,Tuesday,9,6,1
146224,June,Tuesday,19,6,1
